#X,Z,log_Rho,Rho
0.0,0.0,1.87,74.0
0.0,-1.51,1.86,73.0
0.0,-3.02,1.85,71.0
0.0,-4.53,1.84,69.0
0.0,-6.04,1.83,68.0
0.0,-7.55,1.82,66.0
0.0,-9.06,1.81,64.0
0.0,-10.57,1.8,63.0
0.0,-12.08,1.81,65.0
0.0,-13.59,1.83,67.0
0.0,-15.1,1.84,69.0
0.0,-16.61,1.85,71.0
0.0,-18.12,1.86,73.0
0.0,-19.63,1.88,76.0
0.0,-21.14,1.92,83.0
0.0,-22.65,1.97,93.0
0.0,-24.16,2.01,102.0
0.0,-25.67,2.05,112.0
0.0,-27.18,2.08,120.0
0.0,-28.69,2.1,126.0
0.0,-30.2,2.12,131.0
0.0,-31.71,2.13,135.0
0.0,-33.22,2.15,140.0
0.0,-34.73,2.16,145.0
0.0,-36.24,2.17,149.0
0.0,-37.75,2.19,154.0
0.0,-39.26,2.2,159.0
0.0,-40.77,2.22,165.0
0.0,-42.28,2.23,169.0
0.0,-43.79,2.24,172.0
0.0,-45.3,2.24,175.0
0.0,-46.81,2.25,178.0
0.0,-48.32,2.26,181.0
0.0,-49.83,2.26,184.0
0.0,-51.34,2.27,186.0
0.0,-52.85,2.28,189.0
0.0,-54.36,2.28,192.0
0.0,-55.87,2.29,195.0
0.0,-57.38,2.3,198.0
0.0,-58.89,2.3,200.0
0.0,-60.4,2.3,200.0
2.5,0.0,1.87,74.0
2.5,-1.51,1.86,73.0
2.5,-3.02,1.85,71.0
2.5,-4.53,1.84,69.0
2.5,-6.04,1.83,68.0
2.5,-7.55,1.82,66.0
2.5,-9.06,1.81,64.0
2.5,-10.57,1.8,63.0
2.5,-12.08,1.81,65.0
2.5,-13.59,1.83,67.0
2.5,-15.1,1.84,69.0
2.5,-16.61,1.85,71.0
2.5,-18.12,1.87,74.0
2.5,-19.63,1.89,78.0
2.5,-21.14,1.93,85.0
2.5,-22.65,1.98,95.0
2.5,-24.16,2.02,104.0
2.5,-25.67,2.05,112.0
2.5,-27.18,2.08,119.0
2.5,-28.69,2.1,125.0
2.5,-30.2,2.11,130.0
2.5,-31.71,2.13,135.0
2.5,-33.22,2.14,139.0
2.5,-34.73,2.16,144.0
