#X,Z,log_Rho,Rho
0.0,0.0,1.87,74.0
0.0,-5.0,1.86,73.0
0.0,-10.0,1.85,71.0
0.0,-15.0,1.84,69.0
0.0,-20.0,1.83,68.0
0.0,-25.0,1.82,66.0
0.0,-30.0,1.81,64.0
0.0,-35.0,1.8,63.0
0.0,-40.0,1.81,65.0
0.0,-45.0,1.83,67.0
0.0,-50.0,1.84,69.0
0.0,-55.0,1.85,71.0
0.0,-60.0,1.86,72.0
0.0,-65.0,1.88,75.0
0.0,-70.0,1.91,81.0
0.0,-75.0,1.95,89.0
0.0,-80.0,1.99,97.0
0.0,-85.0,2.02,105.0
0.0,-90.0,2.05,112.0
0.0,-95.0,2.08,120.0
0.0,-100.0,2.1,126.0
0.0,-105.0,2.12,132.0
0.0,-110.0,2.14,137.0
0.0,-115.0,2.16,143.0
0.0,-120.0,2.17,148.0
0.0,-125.0,2.18,153.0
0.0,-130.0,2.2,159.0
0.0,-135.0,2.21,164.0
0.0,-140.0,2.23,170.0
0.0,-145.0,2.25,176.0
0.0,-150.0,2.26,182.0
0.0,-155.0,2.27,188.0
0.0,-160.0,2.29,194.0
0.0,-165.0,2.3,198.0
0.0,-170.0,2.3,200.0
0.0,-175.0,2.3,200.0
0.0,-180.0,2.3,200.0
0.0,-185.0,2.3,200.0
0.0,-190.0,2.3,200.0
0.0,-195.0,2.3,200.0
0.0,-200.0,2.3,200.0
5.0,0.0,1.87,74.0
5.0,-5.0,1.86,73.0
5.0,-10.0,1.85,71.0
5.0,-15.0,1.84,69.0
5.0,-20.0,1.83,68.0
5.0,-25.0,1.82,66.0
5.0,-30.0,1.81,64.0
5.0,-35.0,1.8,63.0
5.0,-40.0,1.81,65.0
5.0,-45.0,1.83,67.0
5.0,-50.0,1.84,69.0
5.0,-55.0,1.85,71.0
5.0,-60.0,1.86,73.0
5.0,-65.0,1.88,76.0
5.0,-70.0,1.91,82.0
5.0,-75.0,1.95,90.0
5.0,-80.0,1.99,98.0
5.0,-85.0,2.03,106.0
5.0,-90.0,2.05,113.0
5.0,-95.0,2.08,121.0
5.0,-100.0,2.1,127.0
5.0,-105.0,2.12,132.0
5.0,-110.0,2.14,137.0
5.0,-115.0,2.16,143.0
5.0,-120.0,2.17,148.0
5.0,-125.0,2.18,153.0
5.0,-130.0,2.2,159.0
5.0,-135.0,2.21,164.0
5.0,-140.0,2.23,170.0
5.0,-145.0,2.25,176.0
5.0,-150.0,2.26,182.0
5.0,-155.0,2.27,188.0
5.0,-160.0,2.29,194.0
5.0,-165.0,2.3,198.0
5.0,-170.0,2.3,200.0
5.0,-175.0,2.3,200.0
5.0,-180.0,2.3,200.0
5.0,-185.0,2.3,200.0
5.0,-190.0,2.3,200.0
5.0,-195.0,2.3,200.0
5.0,-200.0,2.3,200.0
10.0,0.0,1.87,74.0
10.0,-5.0,1.86,73.0
10.0,-10.0,1.85,71.0
10.0,-15.0,1.84,69.0
10.0,-20.0,1.83,68.0
10.0,-25.0,1.82,66.0
10.0,-30.0,1.81,64.0
10.0,-35.0,1.8,63.0
10.0,-40.0,1.81,65.0
10.0,-45.0,1.83,67.0
10.0,-50.0,1.84,69.0
10.0,-55.0,1.85,71.0
10.0,-60.0,1.87,74.0
10.0,-65.0,1.89,78.0
10.0,-70.0,1.92,84.0
10.0,-75.0,1.96,92.0
10.0,-80.0,2.0,100.0
10.0,-85.0,2.03,107.0
10.0,-90.0,2.06,115.0
10.0,-95.0,2.08,121.0
10.0,-100.0,2.1,127.0
10.0,-105.0,2.12,132.0
10.0,-110.0,2.14,137.0
10.0,-115.0,2.16,143.0
10.0,-120.0,2.17,148.0
10.0,-125.0,2.18,153.0
10.0,-130.0,2.2,159.0
10.0,-135.0,2.21,164.0
10.0,-140.0,2.23,170.0
10.0,-145.0,2.25,176.0
10.0,-150.0,2.26,182.0
10.0,-155.0,2.27,188.0
10.0,-160.0,2.29,194.0
10.0,-165.0,2.3,199.0
10.0,-170.0,2.3,200.0
10.0,-175.0,2.3,200.0
10.0,-180.0,2.3,200.0
10.0,-185.0,2.3,200.0
10.0,-190.0,2.3,200.0
10.0,-195.0,2.3,200.0
10.0,-200.0,2.3,200.0
15.0,0.0,1.87,74.0
15.0,-5.0,1.86,73.0
15.0,-10.0,1.85,71.0
15.0,-15.0,1.84,69.0
15.0,-20.0,1.83,68.0
