#X     Z        log_Rho      Rho    
0.00   0.00     1.87         74.00  
0.00   -1.51    1.86         73.00  
0.00   -3.02    1.85         71.00  
0.00   -4.53    1.84         69.00  
0.00   -6.04    1.83         68.00  
0.00   -7.55    1.82         66.00  
0.00   -9.06    1.81         64.00  
0.00   -10.57   1.80         63.00  
0.00   -12.08   1.81         65.00  
0.00   -13.59   1.83         67.00  
0.00   -15.10   1.84         69.00  
0.00   -16.61   1.85         71.00  
0.00   -18.12   1.86         73.00  
0.00   -19.63   1.88         76.00  
0.00   -21.14   1.92         83.00  
0.00   -22.65   1.97         93.00  
0.00   -24.16   2.01         102.00 
0.00   -25.67   2.05         112.00 
0.00   -27.18   2.08         120.00 
0.00   -28.69   2.10         126.00 
0.00   -30.20   2.12         131.00 
0.00   -31.71   2.13         135.00 
0.00   -33.22   2.15         140.00 
0.00   -34.73   2.16         145.00 
0.00   -36.24   2.17         149.00 
0.00   -37.75   2.19         154.00 
0.00   -39.26   2.20         159.00 
0.00   -40.77   2.22         165.00 
0.00   -42.28   2.23         169.00 
0.00   -43.79   2.24         172.00 
0.00   -45.30   2.24         175.00 
0.00   -46.81   2.25         178.00 
0.00   -48.32   2.26         181.00 
0.00   -49.83   2.26         184.00 
0.00   -51.34   2.27         186.00 
0.00   -52.85   2.28         189.00 
0.00   -54.36   2.28         192.00 
0.00   -55.87   2.29         195.00 
0.00   -57.38   2.30         198.00 
0.00   -58.89   2.30         200.00 
0.00   -60.40   2.30         200.00 
2.50   0.00     1.87         74.00  
2.50   -1.51    1.86         73.00  
2.50   -3.02    1.85         71.00  
2.50   -4.53    1.84         69.00  
2.50   -6.04    1.83         68.00  
2.50   -7.55    1.82         66.00  
2.50   -9.06    1.81         64.00  
2.50   -10.57   1.80         63.00  
2.50   -12.08   1.81         65.00  
2.50   -13.59   1.83         67.00  
2.50   -15.10   1.84         69.00  
2.50   -16.61   1.85         71.00  
2.50   -18.12   1.87         74.00  
2.50   -19.63   1.89         78.00  
2.50   -21.14   1.93         85.00  
2.50   -22.65   1.98         95.00  
2.50   -24.16   2.02         104.00 
2.50   -25.67   2.05         112.00 
2.50   -27.18   2.08         119.00 
2.50   -28.69   2.10         125.00 
2.50   -30.20   2.11         130.00 
2.50   -31.71   2.13         135.00 
2.50   -33.22   2.14         139.00 
2.50   -34.73   2.16         144.00 
2.50   -36.24   2.17         149.00 
2.50   -37.75   2.19         154.00 
2.50   -39.26   2.20         159.00 
2.50   -40.77   2.22         165.00 
2.50   -42.28   2.23         170.00 
2.50   -43.79   2.24         175.00 
2.50   -45.30   2.25         178.00 
2.50   -46.81   2.26         181.00 
2.50   -48.32   2.26         184.00 
2.50   -49.83   2.27         187.00 
2.50   -51.34   2.28         190.00 
2.50   -52.85   2.28         192.00 
2.50   -54.36   2.29         195.00 
2.50   -55.87   2.29         197.00 
2.50   -57.38   2.30         199.00 
2.50   -58.89   2.30         200.00 
2.50   -60.40   2.30         200.00 
5.00   0.00     1.87         74.00  
5.00   -1.51    1.86         73.00  
5.00   -3.02    1.85         71.00  
5.00   -4.53    1.84         69.00  
5.00   -6.04    1.83         68.00  
5.00   -7.55    1.82         66.00  
5.00   -9.06    1.81         64.00  
5.00   -10.57   1.80         63.00  
5.00   -12.08   1.81         65.00  
5.00   -13.59   1.83         68.00  
5.00   -15.10   1.85         71.00  
5.00   -16.61   1.87         74.00  
5.00   -18.12   1.89         78.00  
5.00   -19.63   1.91         82.00  
5.00   -21.14   1.95         89.00  
5.00   -22.65   1.99         98.00  
5.00   -24.16   2.02         105.00 
5.00   -25.67   2.05         112.00 
5.00   -27.18   2.07         118.00 
5.00   -28.69   2.09         124.00 
5.00   -30.20   2.11         129.00 
5.00   -31.71   2.12         133.00 
5.00   -33.22   2.14         138.00 
5.00   -34.73   2.16         143.00 
5.00   -36.24   2.17         148.00 
5.00   -37.75   2.18         153.00 
5.00   -39.26   2.20         159.00 
5.00   -40.77   2.22         165.00 
5.00   -42.28   2.23         171.00 
5.00   -43.79   2.25         177.00 
5.00   -45.30   2.26         182.00 
5.00   -46.81   2.27         187.00 
5.00   -48.32   2.28         190.00 
5.00   -49.83   2.29         193.00 
5.00   -51.34   2.29         196.00 
5.00   -52.85   2.30         198.00 
5.00   -54.36   2.30         199.00 
5.00   -55.87   2.30         200.00 
5.00   -57.38   2.30         200.00 
5.00   -58.89   2.30         200.00 
5.00   -60.40   2.30         200.00 
7.50   0.00     1.87         74.00  
7.50   -1.51    1.86         73.00  
7.50   -3.02    1.85         71.00  
7.50   -4.53    1.84         69.00  
7.50   -6.04    1.83         68.00  
7.50   -7.55    1.82         66.00  
7.50   -9.06    1.81         64.00  
7.50   -10.57   1.81         64.00  
7.50   -12.08   1.82         66.00  
7.50   -13.59   1.85         70.00  
7.50   -15.10   1.87         74.00  
7.50   -16.61   1.89         77.00  
7.50   -18.12   1.91         81.00  
7.50   -19.63   1.93         85.00  
7.50   -21.14   1.96         91.00  
