#X,Z,log_Rho,Rho
0.0,0.0,1.88,75.0
0.0,-2.5,1.87,74.0
0.0,-5.0,1.86,73.0
0.0,-7.5,1.86,72.0
0.0,-10.0,1.85,71.0
0.0,-12.5,1.85,70.0
0.0,-15.0,1.84,69.0
0.0,-17.5,1.83,68.0
0.0,-20.0,1.83,68.0
0.0,-22.5,1.83,67.0
0.0,-25.0,1.82,66.0
0.0,-27.5,1.81,65.0
0.0,-30.0,1.81,64.0
0.0,-32.5,1.8,63.0
0.0,-35.0,1.8,63.0
0.0,-37.5,1.81,64.0
0.0,-40.0,1.81,65.0
0.0,-42.5,1.82,66.0
0.0,-45.0,1.83,67.0
0.0,-47.5,1.83,68.0
0.0,-50.0,1.84,69.0
0.0,-52.5,1.85,70.0
0.0,-55.0,1.85,71.0
0.0,-57.5,1.86,72.0
0.0,-60.0,1.86,72.0
0.0,-62.5,1.86,73.0
0.0,-65.0,1.88,75.0
0.0,-67.5,1.89,77.0
0.0,-70.0,1.91,81.0
0.0,-72.5,1.93,85.0
0.0,-75.0,1.95,89.0
0.0,-77.5,1.96,92.0
0.0,-80.0,1.98,96.0
0.0,-82.5,2.0,100.0
0.0,-85.0,2.02,104.0
0.0,-87.5,2.03,108.0
0.0,-90.0,2.05,112.0
0.0,-92.5,2.06,116.0
0.0,-95.0,2.08,120.0
0.0,-97.5,2.09,123.0
0.0,-100.0,2.1,126.0
0.0,-102.5,2.11,129.0
0.0,-105.0,2.12,132.0
0.0,-107.5,2.13,135.0
0.0,-110.0,2.14,137.0
0.0,-112.5,2.15,140.0
0.0,-115.0,2.16,143.0
0.0,-117.5,2.16,145.0
0.0,-120.0,2.17,148.0
0.0,-122.5,2.18,151.0
0.0,-125.0,2.18,153.0
0.0,-127.5,2.19,156.0
0.0,-130.0,2.2,159.0
0.0,-132.5,2.21,162.0
0.0,-135.0,2.21,164.0
0.0,-137.5,2.22,167.0
0.0,-140.0,2.23,170.0
0.0,-142.5,2.24,173.0
0.0,-145.0,2.25,176.0
0.0,-147.5,2.25,179.0
0.0,-150.0,2.26,182.0
0.0,-152.5,2.27,185.0
0.0,-155.0,2.27,188.0
0.0,-157.5,2.28,191.0
0.0,-160.0,2.29,194.0
0.0,-162.5,2.29,197.0
